team,video,title,ko_translate,ko_read,en_read,sub1,sub2,sub3
러키스타,https://www.youtube.com/watch?v=fbVTKHHqLrk,Kenka yohou no jikanda yo,싸움예보시간입니다,켄카요호우노지칸다요,kenka yohou no jikanda yo,,,
러키스타,https://www.youtube.com/watch?v=IsdEEfIWoKE,100%아니야 아니야 아니야,100%아니야 아니야 아니야,100%나이나이나이,100%nainainai,,,
아이돌,https://www.youtube.com/watch?v=g-Bj9L_DdXM,Snow Halation,스노우 할레이션,스노할레이션,Snow Halation,,,
아이돌,https://youtu.be/1EliLP0ASxE,우리들은 지금 속에서,우리들은 지금 속에서,보쿠라와이마노나카데,Bokurawa Ima No Nakade,,,
아이돌,https://youtu.be/t3AVCmtKdew,분명 청춘이 들려올거야,분명청춘이들려올거야,킷토세이슌가키코에루,Kitto Seishun ga kikoeru,,,
아이돌,https://www.youtube.com/watch?v=RcYtUeu4EqQ,우리는 하나의 빛,우리는 하나의 빛,보쿠타치와 히토츠노 히카리,Bokutachiwa hitotsu no hikari,,,
아이돌,https://www.youtube.com/watch?v=wveXOvrfgMY&t=95s,미숙 드리머,미숙Dreamer,미숙 드리머,Mijuku DREAMER,,,
아이돌,https://youtu.be/mO20a-BFIbA,푸른 하늘 Jumping Heart,푸른 하늘 Jumping Heart,푸른 하늘 점핑하트,Aozora Jumping Heart,,,
아이돌,https://youtu.be/_7uLfiTtQeY,NEO SKY NEO MAP,,네오 스카이 네오 맵,NEO SKY NEO MAP,,,
아이돌,https://youtu.be/35WteJ60cps,Start!! True dreams,,스타트 트루 드림즈,Start true dreams,,,
보컬로이드,https://youtu.be/QBkmQRjMzrI,하츠네 미쿠의 소실,하츠네미쿠의소실,하츠네미쿠노쇼시츠,HatsuneMikuNoShositsu,,,
보컬로이드,https://youtu.be/Xg-qfsKN2_E,로키,로키,로키,ROKI,,,
보컬로이드,https://www.youtube.com/watch?v=3SkNrZnoK5w,마음짓기,마음짓기,코코로나라시,Kokoro Narashi,,,
보컬로이드,https://www.youtube.com/watch?v=0HYm60Mjm0k&feature=emb_title,생명에게 미움받고 있어,생명에게 미움받고있어,이노치니키라와레테이루,Inochi ni kiraware te iru,,,
보컬로이드,https://youtu.be/XogSflwXgpw,내일의 밤하늘 초계반,내일의 밤하늘 초계반,아스노 요조라 쇼우카이한,Asunoyozora Shoukaihan,,,
보컬로이드,https://youtu.be/8oBV3jPTW4s,로스트 원의 호곡,로스트 원의 호곡,Lost ones weeping,lost ones goukoku,,,
보컬로이드,https://www.youtube.com/watch?v=kDGIrivtarE,니아,니어,니아,Near,,,
보컬로이드,https://youtu.be/PqJNc9KVIZE,Tell Your World,,텔 유어 월드,Tell Your World,,,
보컬로이드,https://youtu.be/6OmwKZ9r07o,ODDS & ENDS,,오드앤엔드,odds&ends,,,
보컬로이드,https://youtu.be/jfL1M2vYqz8,Just Be Friends,,저스트 비 프렌즈,Just Be Friends,,,
보컬로이드,https://youtu.be/RUpTZ-O92GQ,From Y to Y,,프롬 와이 투 와이,From Y to Y,,,
보컬로이드,https://youtu.be/SciC4eedP0U,Calc,,칼크,Calc,,,
보컬로이드,https://youtu.be/Gczpebdftdc,블랙★록 슈터,,블랙록슈터,Black Rock Shooter,,,
보컬로이드,https://youtu.be/-M4sAQYi6r4,하로/하와유,,하로 하와유,Hello How Are You,,,
보컬로이드,https://youtu.be/ikgQhG4AlVk,포핏포,,포핏포,Popippo,,,
보컬로이드,https://youtu.be/rePFEUu7YZs,테러,테러,테로루,terror,,,
보컬로이드,https://youtu.be/-y3BSoHOT9A,키사라기 어텐션,,키사라기 어텐션,Kisaragi Attention,,,
보컬로이드,https://youtu.be/op3lPBDHEXs,좋아 싫어,좋아 싫어,스키 키라이,suki kirai,,,
보컬로이드,https://youtu.be/Om3MTou2kPg,육조년과 하룻밤 이야기,육조년과 하룻밤 이야기,,Six Trillion Years And overnight story,,,
보컬로이드,https://youtu.be/8kFSioLftx4,월드 이즈 마인,,월드 이즈 마인,World is mine,,,
보컬로이드,https://youtu.be/TXzfQ0cP1P0,연애재판,Renai Saiban,연애재판,Love Trial,,,
보컬로이드,https://youtu.be/clPjNKWe6N0,아이러니,,아이러니,Irony,,,
보컬로이드,https://www.youtube.com/watch?v=eIjisTHzoXc,아스트로넛,,아스트로넛,Astronaut,,,
보컬로이드,https://youtu.be/L0tcMxp8Iy8,가지마,가지마,이카나이데,Ikanaide,,,
보컬로이드,https://youtu.be/B-A2eYlbrwQ,겁쟁이 몽블랑,겁쟁이몽블랑,요와무시몽블랑,YowamushiMontBlanc,,,
보컬로이드,https://youtu.be/b_cuMcDWwsI,겉과 속의 러버즈,겉과속의러버즈,우라오모테러버즈,UraOmoteLovers,,,
보컬로이드,https://youtu.be/xzoShzMIlIM,공주열차,,공주열차,Daydream Skytrain,,,
보컬로이드,https://youtu.be/xxFkW3PCT5M,꼭두각시 피에로,꼭두각시 피에로,카라쿠리피에로,Karakuri Pierrot,,,
보컬로이드,https://youtu.be/p2Irc9NPCtk,누덕누덕 스타카토,누덕누덕 스타카토,츠기하기스타카토,Patchwork staccato,,,
보컬로이드,https://youtu.be/86_kvUqhY-A,멜랑콜릭,멜랑콜릭,멜랑콜릭,melancholic,,,
보컬로이드,https://www.youtube.com/watch?v=Ut5Eg_zOBTA,멜트,멜트,메루토,Melt,,,
보컬로이드,https://youtu.be/Dx9m4jpocAc,미쿠미쿠하게 해줄게,미쿠미쿠하게 해줄게,미쿠미쿠니 시테아게루,miku miku ni shite ageru,,,
보컬로이드,https://youtu.be/ZOrWUBPykOk,사랑의 말,사랑의 말,아이코토바,Ai Kotoba,,,
보컬로이드,https://youtu.be/-cT1zaotfuU,사랑하는 보컬로이드,사랑하는 보컬로이드,코이스루보컬로이드,Koisuru vocaloid,,,
보컬로이드,https://www.youtube.com/watch?v=WyeFfNH9Upc,지구최후의 고백을,지구최후의 고백을,치큐우사이고우노코하쿠오,the last confession on earth,,,
보컬로이드,https://youtu.be/EBd1dk0kLTs,세츠나트립,순간여행,세츠나트립,Setsuna Trip,,,
보컬로이드,https://youtu.be/JW3N-HvU0MA,소녀 레이,소녀 레이,쇼우죠레이,Shoujo Rei,,,
보컬로이드,https://youtu.be/lv8ECQjrrXU,스트리밍 하트,,스트리밍 하트,Streaming Heart,,,
보컬로이드,https://youtu.be/2CwBFr-Eoxg,심해소녀,심해소녀,신카이쇼우죠,Shinkai Shoujo,,,
기타,https://www.youtube.com/watch?v=hpn6NOCCahA,작은 사랑의 노래,작은 사랑의 노래,치이사나 코이노 우타,Chiisana Koi no Uta,,,
